ip,country,city,subdivision,latitude,longitude,accuracy_radius,postal_code,hostname,dns_hints,confidence,error
220.128.9.58,Taiwan,,,24.0,121.0,200,,220-128-9-58.tylc-3032.hinet.net,,low,
220.128.9.62,Taiwan,,,24.0,121.0,200,,220-128-9-62.tylc-3032.hinet.net,,low,
211.22.224.109,Taiwan,Chiyayi County,Chiyayi County,23.4633,120.5817,50,,211-22-224-109.hinet-ip.hinet.net,,medium,
211.22.228.209,Taiwan,Chiyayi County,Chiyayi County,23.4633,120.5817,50,,211-22-228-209.hinet-ip.hinet.net,,medium,
220.128.19.22,Taiwan,,,24.0,121.0,200,,220-128-19-22.chch-3032.hinet.net,,low,
211.22.228.141,Taiwan,Chiyayi County,Chiyayi County,23.4633,120.5817,50,,pths-3502.hinet.net,,medium,
61.60.125.124,Taiwan,,,24.0,121.0,200,,smtp2.ntpc.gov.tw,New Taipei,medium,
210.69.253.138,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,210-69-253-138.hinet-ip.hinet.net,,high,
210.65.22.37,Taiwan,,,24.0,121.0,200,,210-65-22-37.hinet-ip.hinet.net,,low,
220.128.4.17,Taiwan,,,24.0,121.0,200,,220-128-4-17.tpdb-3315.hinet.net,,low,
203.79.251.102,Taiwan,,,24.0,121.0,200,,il203-79-251-102.static.apol.com.tw,Yilan,medium,
61.222.116.238,Taiwan,Taipei,Taipei City,25.053,121.5259,5,,61-222-116-238.hinet-ip.hinet.net,,high,
60.199.82.5,Taiwan,,,24.0,121.0,200,,60-199-82-5.static.tfn.net.tw,,low,
60.199.14.10,Taiwan,,,24.0,121.0,200,,60-199-14-10.static.tfn.net.tw,,low,
219.80.116.246,Taiwan,Taoyuan District,Taoyuan,24.9889,121.3176,20,,219-80-116-246.static.tfn.net.tw,,high,
210.200.80.254,Taiwan,,,24.0,121.0,200,,210-200-80-254.d3.static.apol.com.tw,,low,
220.128.8.194,Taiwan,,,24.0,121.0,200,,220-128-8-194.tyfo-3031.hinet.net,,low,
210.69.10.13,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,210-69-10-13.hinet-ip.hinet.net,,high,
163.29.183.101,Taiwan,Taoyuan District,Taoyuan,24.9889,121.3176,10,,163-29-183-101.hinet-ip.hinet.net,,high,
210.69.253.174,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,210-69-253-174.hinet-ip.hinet.net,,high,
210.69.253.186,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,210-69-253-186.hinet-ip.hinet.net,,high,
220.128.2.5,Taiwan,,,24.0,121.0,200,,220-128-2-5.tpdb-3315.hinet.net,,low,
163.29.22.121,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,100,,163-29-22-121.hinet-ip.hinet.net,,medium,
60.199.47.190,Taiwan,,,24.0,121.0,200,,60-199-47-190.static.tfn.net.tw,,low,
60.251.96.130,Taiwan,Taipei,Taipei City,25.053,121.5259,5,,60-251-96-130.hinet-ip.hinet.net,,high,
168.95.228.37,Taiwan,,,24.0,121.0,200,,h37.s228.ts.hinet.net,,low,
139.175.58.28,Taiwan,,,24.0,121.0,200,,r58-28.seed.net.tw,,low,
192.72.124.56,Taiwan,,,24.0,121.0,200,,h56-192-72-124.seed.net.tw,,low,
192.72.155.194,Taiwan,,,24.0,121.0,200,,h194-192-72-155.seed.net.tw,,low,
220.128.9.174,Taiwan,,,24.0,121.0,200,,220-128-9-174.tylc-3032.hinet.net,,low,
220.128.8.10,Taiwan,,,24.0,121.0,200,,220-128-8-10.tyfo-3031.hinet.net,,low,
139.175.57.63,Taiwan,,,24.0,121.0,200,,r57-63.seed.net.tw,,low,
192.72.123.77,Taiwan,,,24.0,121.0,200,,h77-192-72-123.seed.net.tw,,low,
210.69.253.162,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,210-69-253-162.hinet-ip.hinet.net,,high,
210.69.254.77,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,210-69-254-77.hinet-ip.hinet.net,,high,
117.56.5.157,Taiwan,Taipei,Taipei City,25.053,121.5259,5,,117-56-5-157.hinet-ip.hinet.net,,high,
163.29.46.141,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,100,,163-29-46-141.hinet-ip.hinet.net,,medium,
220.128.8.222,Taiwan,,,24.0,121.0,200,,220-128-8-222.tyfo-3031.hinet.net,,low,
220.128.9.222,Taiwan,,,24.0,121.0,200,,220-128-9-222.tylc-3032.hinet.net,,low,
203.72.244.50,Taiwan,Yilan,Yilan County,24.757,121.753,10,,phy-cc.ncu.edu.tw,,high,
220.128.2.213,Taiwan,,,24.0,121.0,200,,220-128-2-213.tpdb-3316.hinet.net,,low,
203.75.188.197,Taiwan,Taipei,Taipei City,25.053,121.5259,100,,203-75-188-197.hinet-ip.hinet.net,,medium,
203.74.167.1,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,20,,203-74-167-1.hinet-ip.hinet.net,,high,
203.75.188.177,Taiwan,Taipei,Taipei City,25.053,121.5259,100,,203-75-188-177.hinet-ip.hinet.net,,medium,
60.199.5.130,Taiwan,,,24.0,121.0,200,,60-199-5-130.static.tfn.net.tw,,low,
210.69.10.25,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,210-69-10-25.hinet-ip.hinet.net,,high,
192.72.124.96,Taiwan,,,24.0,121.0,200,,h96-192-72-124.seed.net.tw,,low,
163.29.22.169,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,100,,163-29-22-169.hinet-ip.hinet.net,,medium,
163.29.22.253,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,100,,163-29-22-253.hinet-ip.hinet.net,,medium,
220.128.8.82,Taiwan,,,24.0,121.0,200,,220-128-8-82.tyfo-3031.hinet.net,,low,
211.22.227.217,Taiwan,Chiyayi County,Chiyayi County,23.4633,120.5817,50,,211-22-227-217.hinet-ip.hinet.net,,medium,
203.66.32.102,Taiwan,,,24.0,121.0,200,,203-66-32-102.hinet-ip.hinet.net,,low,
203.66.32.196,Taiwan,,,24.0,121.0,200,,203-66-32-196.hinet-ip.hinet.net,,low,
203.66.35.70,Taiwan,,,24.0,121.0,200,,203-66-35-70.hinet-ip.hinet.net,,low,
220.128.26.101,Taiwan,,,24.0,121.0,200,,220-128-26-101.tncd-3331.hinet.net,,low,
192.72.108.162,Taiwan,,,24.0,121.0,200,,h162-192-72-108.seed.net.tw,,low,
139.175.57.61,Taiwan,,,24.0,121.0,200,,r57-61.seed.net.tw,,low,
203.66.35.1,Taiwan,,,24.0,121.0,200,,203-66-35-1.hinet-ip.hinet.net,,low,
220.128.25.117,Taiwan,,,24.0,121.0,200,,220-128-25-117.skc1-3331.hinet.net,,low,
61.60.101.134,Taiwan,,,24.0,121.0,200,,61-60-101-134.hinet-ip.hinet.net,,low,
211.22.227.237,Taiwan,Chiyayi County,Chiyayi County,23.4633,120.5817,50,,211-22-227-237.hinet-ip.hinet.net,,medium,
203.66.32.3,Taiwan,,,24.0,121.0,200,,203-66-32-3.hinet-ip.hinet.net,,low,
220.128.8.33,Taiwan,,,24.0,121.0,200,,220-128-8-33.tpe4-3331.hinet.net,Taipei,medium,
220.128.8.241,Taiwan,,,24.0,121.0,200,,220-128-8-241.tpe4-3331.hinet.net,Taipei,medium,
203.66.34.33,Taiwan,,,24.0,121.0,200,,203-66-34-33.hinet-ip.hinet.net,,low,
168.95.229.13,Taiwan,,,24.0,121.0,200,,h13.s229.ts.hinet.net,,low,
203.66.34.37,Taiwan,,,24.0,121.0,200,,203-66-34-37.hinet-ip.hinet.net,,low,
203.66.32.198,Taiwan,,,24.0,121.0,200,,203-66-32-198.hinet-ip.hinet.net,,low,
203.66.35.78,Taiwan,,,24.0,121.0,200,,203-66-35-78.hinet-ip.hinet.net,,low,
210.69.221.61,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,210-69-221-61.hinet-ip.hinet.net,,high,
210.69.250.98,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,210-69-250-98.hinet-ip.hinet.net,,high,
210.69.253.202,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,210-69-253-202.hinet-ip.hinet.net,,high,
140.114.1.69,Taiwan,Taichung,Taichung City,24.144,120.6844,50,,c7609c-c6509.nthu.edu.tw,,medium,
140.115.0.177,Taiwan,Zhongli District,Taoyuan,24.9604,121.2392,10,,mail.ncu.edu.tw,,high,
140.115.17.128,Taiwan,Zhongli District,Taoyuan,24.9604,121.2392,10,,smtp.ncu.edu.tw,,high,
140.120.3.160,Taiwan,Taichung,Taichung City,24.144,120.6844,20,,cportal.nchu.edu.tw,,high,
168.95.211.45,Taiwan,,,24.0,121.0,200,,h45.s211.ts.hinet.net,,low,
211.22.229.89,Taiwan,Chiyayi County,Chiyayi County,23.4633,120.5817,50,,211-22-229-89.hinet-ip.hinet.net,,medium,
203.66.35.107,Taiwan,,,24.0,121.0,200,,203-66-35-107.hinet-ip.hinet.net,,low,
203.66.25.249,Taiwan,,,24.0,121.0,200,,customer.wan-port.ar.hinet.net,,low,
219.87.23.191,Taiwan,Taipei,Taipei City,25.053,121.5259,50,,spam.fcb.firstbank.com.tw,,medium,
219.87.145.214,Taiwan,Taoyuan,Taoyuan,24.9977,121.2965,50,,219-87-145-214.static.tfn.net.tw,,medium,
60.248.209.141,Taiwan,Chang-hua,Changhua,24.0761,120.5648,10,,60-248-209-141.hinet-ip.hinet.net,,high,
219.87.145.212,Taiwan,Taoyuan,Taoyuan,24.9977,121.2965,50,,219-87-145-212.static.tfn.net.tw,,medium,
211.20.188.70,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,webmail.pchome.com.tw,,high,
60.199.28.6,Taiwan,,,24.0,121.0,200,,60-199-28-6.static.tfn.net.tw,,low,
60.199.28.189,Taiwan,,,24.0,121.0,200,,60-199-28-189.static.tfn.net.tw,,low,
60.199.28.46,Taiwan,,,24.0,121.0,200,,60-199-28-46.static.tfn.net.tw,,low,
219.87.9.143,Taiwan,Taipei,Taipei City,25.053,121.5259,50,,219-87-9-143.static.tfn.net.tw,,medium,
60.199.47.206,Taiwan,,,24.0,121.0,200,,60-199-47-206.static.tfn.net.tw,,low,
219.80.240.66,Taiwan,Taoyuan District,Taoyuan,24.9889,121.3176,10,,219-80-240-66.static.tfn.net.tw,,high,
175.99.122.37,Taiwan,,,24.0,121.0,200,,175-99-122-37.static.tfn.net.tw,,low,
203.69.138.207,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,5,,203-69-138-207.hinet-ip.hinet.net,,high,
220.128.9.125,Taiwan,,,24.0,121.0,200,,220-128-9-125.tpe4-3332.hinet.net,Taipei,medium,
168.95.82.225,Taiwan,,,24.0,121.0,200,,h225.s82.ts.hinet.net,,low,
118.163.125.85,Taiwan,Taipei,Taipei City,25.053,121.5259,20,,oa-line.tvbs.com.tw,,high,
220.128.9.241,Taiwan,,,24.0,121.0,200,,220-128-9-241.tpe4-3332.hinet.net,Taipei,medium,
163.29.22.234,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,100,,163-29-22-234.hinet-ip.hinet.net,,medium,
210.69.9.109,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,210-69-9-109.hinet-ip.hinet.net,,high,
168.95.80.201,Taiwan,,,24.0,121.0,200,,h201.s80.ts.hinet.net,,low,
211.22.227.221,Taiwan,Chiyayi County,Chiyayi County,23.4633,120.5817,50,,211-22-227-221.hinet-ip.hinet.net,,medium,
203.66.32.170,Taiwan,,,24.0,121.0,200,,203-66-32-170.hinet-ip.hinet.net,,low,
192.72.155.78,Taiwan,,,24.0,121.0,200,,h78-192-72-155.seed.net.tw,,low,
192.72.124.101,Taiwan,,,24.0,121.0,200,,h101-192-72-124.seed.net.tw,,low,
139.175.58.46,Taiwan,,,24.0,121.0,200,,r58-46.seed.net.tw,,low,
60.199.45.10,Taiwan,,,24.0,121.0,200,,60-199-45-10.static.tfn.net.tw,,low,
61.31.51.30,Taiwan,Songshan,Taipei City,25.05,121.55,10,,61-31-51-30.static.tfn.net.tw,,high,
64.131.64.91,United States,Manassas,Virginia,38.7493,-77.4719,1000,20110,server2.twdomain.com,,medium,
211.22.227.225,Taiwan,Chiyayi County,Chiyayi County,23.4633,120.5817,50,,211-22-227-225.hinet-ip.hinet.net,,medium,
203.66.32.75,Taiwan,,,24.0,121.0,200,,203-66-32-75.hinet-ip.hinet.net,,low,
203.66.35.11,Taiwan,,,24.0,121.0,200,,203-66-35-11.hinet-ip.hinet.net,,low,
168.95.229.105,Taiwan,,,24.0,121.0,200,,h105.s229.ts.hinet.net,,low,
60.251.244.98,Taiwan,Taipei,Taipei City,25.053,121.5259,5,,mail.thsrc.com.tw,,high,
175.99.244.18,Taiwan,,,24.0,121.0,200,,175-99-244-18.static.tfn.net.tw,,low,
175.98.149.66,Taiwan,Hsinchu County,Hsinchu County,24.673,121.1614,50,,175-98-149-66.static.tfn.net.tw,,medium,
202.39.144.209,Taiwan,Yuanlin,Changhua,23.9579,120.5747,10,,customer.wan-port.ar.hinet.net,,high,
210.242.36.6,Taiwan,Taipei,Taipei City,25.053,121.5259,10,,210-242-36-6.hinet-ip.hinet.net,,high,
210.241.82.180,Taiwan,,,24.0,121.0,200,,210-241-82-180.hinet-ip.hinet.net,,low,
163.29.186.180,Taiwan,Taoyuan District,Taoyuan,24.9889,121.3176,10,,163-29-186-180.hinet-ip.hinet.net,,high,
220.128.8.37,Taiwan,,,24.0,121.0,200,,220-128-8-37.clpy-3331.hinet.net,,low,
220.128.8.5,Taiwan,,,24.0,121.0,200,,220-128-8-5.clpy-3331.hinet.net,,low,
211.22.224.137,Taiwan,Chiyayi County,Chiyayi County,23.4633,120.5817,50,,211-22-224-137.hinet-ip.hinet.net,,medium,
203.66.32.140,Taiwan,,,24.0,121.0,200,,203-66-32-140.hinet-ip.hinet.net,,low,
220.128.2.165,Taiwan,,,24.0,121.0,200,,220-128-2-165.tpdb-3336.hinet.net,,low,
203.75.72.89,Taiwan,East District,Tainan,22.9721,120.2225,50,,tncd-4901.hinet.net,,medium,
220.128.2.193,Taiwan,,,24.0,121.0,200,,220-128-2-193.tpdb-3335.hinet.net,,low,
203.75.72.13,Taiwan,East District,Tainan,22.9721,120.2225,50,,tn-cd-c6r1.router.hinet.net,Tainan,high,
210.69.8.221,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,210-69-8-221.hinet-ip.hinet.net,,high,
210.69.210.65,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,no65.mofa.gov.tw,,high,
210.69.210.1,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,srv.mofa.gov.tw,,high,
220.128.24.13,Taiwan,,,24.0,121.0,200,,220-128-24-13.tncd-3331.hinet.net,,low,
192.72.123.101,Taiwan,,,24.0,121.0,200,,h101-192-72-123.seed.net.tw,,low,
139.175.57.106,Taiwan,,,24.0,121.0,200,,r57-106.seed.net.tw,,low,
163.29.12.165,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,100,,163-29-12-165.hinet-ip.hinet.net,,medium,
163.29.130.129,Taiwan,Taoyuan District,Taoyuan,24.9889,121.3176,10,,smtp.moj.gov.tw,,high,
220.128.2.217,Taiwan,,,24.0,121.0,200,,220-128-2-217.tpdb-3335.hinet.net,,low,
211.72.250.1,Taiwan,Taipei,Taipei City,25.053,121.5259,50,,mx.gov.mailcloud.tw,,medium,
220.128.2.197,Taiwan,,,24.0,121.0,200,,220-128-2-197.tpdb-3336.hinet.net,,low,
220.128.2.245,Taiwan,,,24.0,121.0,200,,220-128-2-245.tpdb-3331.hinet.net,,low,
203.65.99.200,Taiwan,,,24.0,121.0,200,,www.mohw.gov.tw,,low,
163.29.222.121,Taiwan,Taoyuan District,Taoyuan,24.9889,121.3176,10,,163-29-222-121.hinet-ip.hinet.net,,high,
210.241.78.100,Taiwan,,,24.0,121.0,200,,210-241-78-100.hinet-ip.hinet.net,,low,
210.241.108.197,Taiwan,,,24.0,121.0,200,,210-241-108-197.hinet-ip.hinet.net,,low,
163.29.207.130,Taiwan,Taoyuan District,Taoyuan,24.9889,121.3176,10,,163-29-207-130.hinet-ip.hinet.net,,high,
163.29.183.213,Taiwan,Taoyuan District,Taoyuan,24.9889,121.3176,10,,163-29-183-213.hinet-ip.hinet.net,,high,
60.250.34.230,Taiwan,Taipei,Taipei City,25.053,121.5259,5,,60-250-34-230.hinet-ip.hinet.net,,high,
220.128.20.61,Taiwan,,,24.0,121.0,200,,220-128-20-61.chch-3331.hinet.net,,low,
220.128.20.17,Taiwan,,,24.0,121.0,200,,220-128-20-17.chch-3331.hinet.net,,low,
210.69.49.254,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,210-69-49-254.hinet-ip.hinet.net,,high,
220.128.20.77,Taiwan,,,24.0,121.0,200,,220-128-20-77.chch-3331.hinet.net,,low,
61.60.63.177,Taiwan,,,24.0,121.0,200,,61-60-63-177.hinet-ip.hinet.net,,low,
140.112.8.116,Taiwan,Taipei,Taipei City,25.053,121.5259,5,,www.ntu.edu.tw,,high,
140.112.9.9,Taiwan,Taipei,Taipei City,25.053,121.5259,5,,mail.ntu.edu.tw,,high,
140.112.36.185,Taiwan,Taipei,Taipei City,25.053,121.5259,5,,ftp.ntu.edu.tw,,high,
140.112.2.165,Taiwan,Taipei,Taipei City,25.053,121.5259,5,,web5.cc.ntu.edu.tw,,high,
140.114.69.135,Taiwan,Hsinchu,Hsinchu City,24.8065,120.9706,20,,www.nthu.edu.tw,,high,
140.115.0.251,Taiwan,Zhongli District,Taoyuan,24.9604,121.2392,10,,140-115-0-251.cc.ncu.edu.tw,,high,
140.120.152.122,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,dragon.nchu.edu.tw,,high,
140.120.1.20,Taiwan,Taichung,Taichung City,24.144,120.6844,20,,www.nchu.edu.tw,,high,
140.120.152.123,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,mail.nchu.edu.tw,,high,
140.120.152.23,Taiwan,Taichung,Taichung City,24.144,120.6844,5,,hcl.nchu.edu.tw,,high,
140.116.229.1,Taiwan,Tainan City,Tainan,22.9917,120.2148,5,,ncku.edu.tw,,high,
140.116.165.190,Taiwan,Tainan City,Tainan,22.9917,120.2148,5,,webmail.ncku.edu.tw,,high,
140.117.13.241,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,20,,math.nsysu.edu.tw,,high,
140.117.11.25,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,20,,www2.nsysu.edu.tw,,high,
140.123.2.25,Taiwan,Chiyayi County,Chiyayi County,23.4633,120.5817,50,,incoming002025.ccu.edu.tw,,medium,
140.123.26.100,Taiwan,Chiyayi County,Chiyayi County,23.4633,120.5817,50,,portal.ccu.edu.tw,,medium,
220.128.4.225,Taiwan,,,24.0,121.0,200,,220-128-4-225.tpdt-3310.hinet.net,,low,
220.128.27.42,Taiwan,,,24.0,121.0,200,,220-128-27-42.tne1-3052.hinet.net,,low,
203.75.188.193,Taiwan,Taipei,Taipei City,25.053,121.5259,100,,203-75-188-193.hinet-ip.hinet.net,,medium,
203.66.132.201,Taiwan,,,24.0,121.0,200,,www.icbc.com.tw,,low,
220.128.26.57,Taiwan,,,24.0,121.0,200,,220-128-26-57.tne1-3331.hinet.net,,low,
168.95.209.57,Taiwan,,,24.0,121.0,200,,h57.s209.ts.hinet.net,,low,
202.39.57.251,Taiwan,Taipei,Taipei City,25.053,121.5259,5,,lb.landbank.com.tw,,high,
202.39.57.29,Taiwan,Taipei,Taipei City,25.053,121.5259,5,,ftp.landbank.com.tw,,high,
168.95.209.29,Taiwan,,,24.0,121.0,200,,h29.s209.ts.hinet.net,,low,
61.219.233.144,Taiwan,Zhubei,Hsinchu County,24.8351,121.0056,50,,61-219-233-144.hinet-ip.hinet.net,,medium,
60.244.119.144,Taiwan,Pingzhen,Taoyuan,24.9449,121.2102,10,,60-244-119-144.vdslpro.static.apol.com.tw,,high,
219.87.23.161,Taiwan,Taipei,Taipei City,25.053,121.5259,50,,mail.firstbank.com.tw,,medium,
139.175.58.146,Taiwan,,,24.0,121.0,200,,r58-146.seed.net.tw,,low,
192.72.107.98,Taiwan,,,24.0,121.0,200,,h98-192-72-107.seed.net.tw,,low,
168.95.210.29,Taiwan,,,24.0,121.0,200,,h29.s210.ts.hinet.net,,low,
211.75.29.168,Taiwan,Zhongli District,Taoyuan,24.9604,121.2392,20,,211-75-29-168.hinet-ip.hinet.net,,high,
203.75.188.181,Taiwan,Taipei,Taipei City,25.053,121.5259,100,,203-75-188-181.hinet-ip.hinet.net,,medium,
168.95.211.57,Taiwan,,,24.0,121.0,200,,h57.s211.ts.hinet.net,,low,
168.95.228.13,Taiwan,,,24.0,121.0,200,,h13.s228.ts.hinet.net,,low,
60.199.18.46,Taiwan,,,24.0,121.0,200,,60-199-18-46.static.tfn.net.tw,,low,
168.95.81.193,Taiwan,,,24.0,121.0,200,,h193.s81.ts.hinet.net,,low,
220.128.9.93,Taiwan,,,24.0,121.0,200,,220-128-9-93.tyfo-3331.hinet.net,,low,
203.69.140.17,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,5,,203-69-140-17.hinet-ip.hinet.net,,high,
220.128.9.153,Taiwan,,,24.0,121.0,200,,220-128-9-153.tyfo-3332.hinet.net,,low,
220.128.9.89,Taiwan,,,24.0,121.0,200,,220-128-9-89.tyfo-3331.hinet.net,,low,
192.72.107.190,Taiwan,,,24.0,121.0,200,,h190-192-72-107.seed.net.tw,,low,
123.51.239.29,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,10,,mail.ltn.com.tw,,high,
168.95.210.41,Taiwan,,,24.0,121.0,200,,h41.s210.ts.hinet.net,,low,
60.251.96.132,Taiwan,Taipei,Taipei City,25.053,121.5259,5,,mail.cna.com.tw,,high,
163.29.22.233,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,100,,163-29-22-233.hinet-ip.hinet.net,,medium,
61.219.29.202,Taiwan,Taipei,Taipei City,25.053,121.5259,5,,61-219-29-202.hinet-ip.hinet.net,,high,
211.73.147.119,Taiwan,,,24.0,121.0,200,,211-73-147-119.adsl.fetnet.net,,low,
220.128.25.217,Taiwan,,,24.0,121.0,200,,220-128-25-217.skc1-3331.hinet.net,,low,
220.128.9.130,Taiwan,,,24.0,121.0,200,,220-128-9-130.tylc-3032.hinet.net,,low,
220.128.9.149,Taiwan,,,24.0,121.0,200,,220-128-9-149.tyfo-3332.hinet.net,,low,
210.242.36.209,Taiwan,Taipei,Taipei City,25.053,121.5259,10,,210-242-36-209.hinet-ip.hinet.net,,high,
210.241.64.252,Taiwan,,,24.0,121.0,200,,210-241-64-252.hinet-ip.hinet.net,,low,
203.74.40.249,Taiwan,Chiyayi County,Chiyayi County,23.4633,120.5817,100,,203-74-40-249.hinet-ip.hinet.net,,medium,
